Rank,Team,Points
12,Argentina,1877.27
20,Spain,1874.71
32,France,1870.70
40,England,1828.02
50,Portugal,1767.85
60,Brazil,1765.86
71,Morocco,1755.10
81,Netherlands,1753.57
90,Belgium,1742.24
100,Germany,1735.77
110,Croatia,1714.87
120,Italy,1704.73
130,Colombia,1698.35
141,Mexico,1687.48
151,Senegal,1684.07
161,Uruguay,1673.07
171,USA,1671.23
180,Japan,1661.58
190,Switzerland,1650.06
201,IR ,1619.58
211,Denmark,1619.47
220,,1605.73
230,Ecuador,1598.52
240,Austria,1597.40
250,Korea ,1591.63
260,Nigeria,1585.02
270,Australia,1579.34
280,Algeria,1571.03
290,Egypt,1562.37
300,Canada,1559.48
310,Norway,1557.44
320,Ukraine,1549.29
331,,1540.87
341,Panama,1539.16
351,Russia,1529.60
361,Poland,1526.18
370,Wales,1516.95
380,Sweden,1509.79
393,Hungary,1506.39
401,Czechia,1505.74
411,Paraguay,1505.35
421,Scotland,1503.34
434,Serbia,1502.13
441,Cameroon,1481.24
451,Tunisia,1476.41
460,Congo DR,1474.43
471,Slovakia,1473.66
481,Greece,1473.19
490,Venezuela,1469.18
500,Uzbekistan,1458.73
513,Chile,1458.20
521,Peru,1457.69
532,Costa ,1456.03
542,Romania,1455.89
553,Mali,1455.59
561,Qatar,1450.31
570,Iraq,1446.28
581,Republic of ,1441.10
591,Slovenia,1441.09
600,South ,1428.38
610,Saudi ,1423.88
620,Burkina ,1406.99
630,Jordan,1387.74
641,Bosnia and ,1387.22
651,Honduras,1378.97
662,Albania,1376.03
672,Cabo ,1371.11
680,United ,1370.47
692,North ,1369.16
700,Northern ,1365.30
710,Jamaica,1357.84
720,Georgia,1355.26
731,Ghana,1346.88
741,Iceland,1342.77
752,Finland,1341.92
761,Israel,1333.90
771,Bolivia,1326.00
780,Kosovo,1319.12
790,Oman,1306.90
801,Montenegro,1301.98
811,Guinea,1295.60
820,,1294.77
830,Haiti,1293.10
840,Syria,1283.05
850,New ,1275.58
861,Gabon,1272.51
871,Bulgaria,1271.68
881,Angola,1265.58
891,Uganda,1264.09
902,Zambia,1255.82
913,China PR,1254.81
921,Bahrain,1254.41
933,Benin,1252.17
941,Thailand,1250.80
950,Palestine,1243.71
961,Belarus,1242.88
971,Guatemala,1238.74
980,Luxembourg,1232.82
990,Vietnam,1225.68
1000,El ,1225.34
1012,Tajikistan,1224.19
1020,Trinidad and ,1219.59
1032,Mozambique,1218.62
1040,Madagascar,1202.69
1050,Equatorial ,1195.20
1061,Kyrgyz ,1192.16
1071,Armenia,1189.63
1081,Comoros,1187.91
1092,Kenya,1185.08
1102,Libya,1182.08
1111,Kazakhstan,1180.78
1121,Tanzania,1180.27
1132,Mauritania,1176.68
1140,Niger,1175.33
1157,Lebanon,1172.22
1160,The ,1159.64
1170,Sudan,1157.22
1184,Indonesia,1157.14
1192,Togo,1152.76
1202,Korea DPR,1151.05
1211,Namibia,1148.84
1223,Sierra ,1147.56
1230,Faroe ,1136.59
1242,Cyprus,1133.25
1250,Suriname,1132.43
1262,Azerbaijan,1132.00
1272,Estonia,1130.64
1280,Rwanda,1126.62
1292,Malawi,1122.05
1300,Zimbabwe,1119.78
1310,Nicaragua,1114.63
1320,,1108.38
1331,Kuwait,1106.47
1341,Congo,1105.96
1350,Philippines,1100.95
1362,Malaysia,1086.22
1370,Latvia,1085.66
1382,India,1084.93
1390,Central ,1080.82
1400,Liberia,1080.44
1410,Turkmenistan,1078.65
1420,Burundi,1078.01
1431,Ethiopia,1077.52
1441,Dominican ,1076.50
1454,Yemen,1065.24
1461,Lesotho,1064.29
1471,Botswana,1063.63
1481,Singapore,1057.95
1491,Lithuania,1056.85
1500,Guyana,1049.32
1510,New ,1036.95
1520,St ,1036.33
1530,Solomon ,1031.89
1542,Puerto ,1024.30
1551,Fiji,1024.17
1561,Hong ,1024.16
1570,Tahiti,1019.04
1580,Myanmar,1010.91
1590,Moldova,1008.24
1600,Vanuatu,1002.53
1610,Malta,992.79
1620,Antigua and ,986.58
1630,Grenada,981.82
1640,Cuba,981.42
1650,Eswatini,979.01
1661,St ,976.71
1671,Bermuda,975.05
1680,Papua ,974.90
1691,South ,970.94
1701,St ,968.27
1712,Afghanistan,968.07
1721,Andorra,946.43
1731,Maldives,943.92
1740,Chinese ,923.78
1752,Cambodia,922.32
1761,Montserrat,916.75
1771,Nepal,914.54
1780,Mauritius,911.49
1790,Barbados,909.89
1800,Belize,907.00
1810,Bangladesh,902.93
1820,Dominica,897.69
1830,Chad,896.85
1840,Eritrea,887.06
1850,Laos,885.03
1862,Cook ,877.53
1874,Sri ,876.86
1882,Samoa,876.41
1890,Aruba,875.61
1903,Mongolia,874.47
1911,American ,871.61
1926,Bhutan,870.81
1931,Macau,858.03
1941,Brunei ,857.73
1951,,855.44
1961,Djibouti,853.58
1972,Cayman ,850.06
1984,Pakistan,840.28
1991,Somalia,839.17
2001,Tonga,835.64
2011,,831.00
2021,Gibraltar,820.26
2032,Guam,819.54
2040,Seychelles,804.16
2050,Turks and ,803.98
2060,Liechtenstein,797.70
2070,Bahamas,786.82
2081,US ,779.76
2091,British ,777.41
2100,Anguilla,760.25
2110,San ,721.20
