Rank,Team,Points
1,Argentina,1877.27
2,Spain,1874.71
3,France,1870.70
4,England,1828.02
5,Portugal,1767.85
6,Brazil,1765.86
7,Morocco,1755.10
8,Netherlands,1753.57
9,Belgium,1742.24
10,Germany,1735.77
11,Croatia,1714.87
13,Colombia,1698.35
14,Mexico,1687.48
15,Senegal,1684.07
16,Uruguay,1673.07
17,USA,1671.23
18,Japan,1661.58
19,Switzerland,1650.06
20,Iran,1619.58
22,Turkey,1605.73
23,Ecuador,1598.52
24,Austria,1597.40
25,South Korea,1591.63
27,Australia,1579.34
28,Algeria,1571.03
29,Egypt,1562.37
30,Canada,1559.48
31,Norway,1557.44
33,Ivory Coast,1540.87
34,Panama,1539.16
38,Sweden,1509.79
40,Czechia,1505.74
41,Paraguay,1505.35
42,Scotland,1503.34
45,Tunisia,1476.41
46,DR Congo,1474.43
50,Uzbekistan,1458.73
56,Qatar,1450.31
57,Iraq,1446.28
60,South Africa,1428.38
61,Saudi Arabia,1423.88
63,Jordan,1387.74
64,Bosnia and Herzegovina,1387.22
67,Cape Verde,1371.11
73,Ghana,1346.88
82,Curacao,1294.77
83,Haiti,1293.10
85,New Zealand,1275.58
